phase,time,confidence
P,2022-12-20T10:34:32.290000Z,0.82617074
S,2022-12-20T10:34:37.980000Z,0.7456388
P,2022-12-20T10:36:06.840000Z,0.45904273
S,2022-12-20T10:36:13.060000Z,0.85334134
P,2022-12-20T10:36:53.070000Z,0.43234748
S,2022-12-20T10:37:00.600000Z,0.48813757
P,2022-12-20T10:37:27.950000Z,0.29602423
S,2022-12-20T10:37:33.480000Z,0.78957117
P,2022-12-20T10:38:11.490000Z,0.37381783
S,2022-12-20T10:38:18.010000Z,0.89811105
P,2022-12-20T10:38:36.750000Z,0.34038007
P,2022-12-20T10:39:09.050000Z,0.9783243
S,2022-12-20T10:39:14.390000Z,0.86624074
P,2022-12-20T10:39:53.440000Z,0.42354083
P,2022-12-20T10:40:51.590000Z,0.38531578
S,2022-12-20T10:40:56.780000Z,0.41113916
P,2022-12-20T10:41:47.980000Z,0.48721325
S,2022-12-20T10:41:53.150000Z,0.45089704
P,2022-12-20T10:42:33.030000Z,0.32369158
S,2022-12-20T10:42:38.540000Z,0.44540447
P,2022-12-20T10:43:47.160000Z,0.96909606
S,2022-12-20T10:43:52.720000Z,0.9002638
P,2022-12-20T10:44:54.490000Z,0.96378726
S,2022-12-20T10:44:59.970000Z,0.8397758
S,2022-12-20T10:45:07.750000Z,0.82206726
P,2022-12-20T10:46:22.890000Z,0.3655251
S,2022-12-20T10:46:28.320000Z,0.61080647
S,2022-12-20T10:47:26.770000Z,0.8645294
P,2022-12-20T10:47:42.140000Z,0.46222875
S,2022-12-20T10:47:48.360000Z,0.9225549
P,2022-12-20T10:48:35.460000Z,0.35317808
S,2022-12-20T10:48:41.040000Z,0.7430216
P,2022-12-20T10:48:46.740000Z,0.82793796
S,2022-12-20T10:48:53.290000Z,0.9114952
P,2022-12-20T10:49:03.260000Z,0.72737557
S,2022-12-20T10:49:09.310000Z,0.8571638
S,2022-12-20T10:49:23.650000Z,0.6536317
P,2022-12-20T10:49:49.980000Z,0.49291795
S,2022-12-20T10:49:55.340000Z,0.95660275
P,2022-12-20T10:51:04.800000Z,0.33850712
S,2022-12-20T10:51:14.000000Z,0.8914097
S,2022-12-20T10:51:35.490000Z,0.31251687
P,2022-12-20T10:51:41.020000Z,0.28114817
S,2022-12-20T10:51:45.970000Z,0.95067984
P,2022-12-20T10:52:11.540000Z,0.53211504
S,2022-12-20T10:52:17.350000Z,0.934051
S,2022-12-20T10:52:18.890000Z,0.27850574
P,2022-12-20T10:52:47.410000Z,0.9593741
S,2022-12-20T10:52:53.350000Z,0.9261526
P,2022-12-20T10:53:23.810000Z,0.6524246
S,2022-12-20T10:53:29.030000Z,0.91712445
S,2022-12-20T10:54:08.740000Z,0.3284664
P,2022-12-20T10:54:57.650000Z,0.5134642
S,2022-12-20T10:55:03.070000Z,0.90728134
S,2022-12-20T10:55:38.480000Z,0.8587026
P,2022-12-20T10:57:28.210000Z,0.66543984
S,2022-12-20T10:57:33.700000Z,0.8559123
P,2022-12-20T10:57:52.580000Z,0.4918096
S,2022-12-20T10:57:58.010000Z,0.446048
P,2022-12-20T10:58:03.790000Z,0.8648516
S,2022-12-20T10:58:09.580000Z,0.8416246
S,2022-12-20T10:59:20.490000Z,0.83013713
S,2022-12-20T10:59:55.580000Z,0.3538977
